番号,百景,ポイント,説明,緯度,経度,写真,画像URL1,画像URL2,画像URL3,画像URL4,画像URL5
32_3,福井のシンボル 歴史と自然の足羽山,足羽山から見る福井市内,足羽山は、福井平野の中心に位置する標高116ｍの低い山ですが、市内に残された緑地として散策を楽しむ人も多く、市民の憩いの場となっています。愛宕坂(あたござか)は、かつて、山頂付近にある足羽神社の参道として開かれました。平成12年に笏谷石を使い、再整備されており、毎年秋にライトアップされています。,36.056629,136.209671,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/323.jpg,,,,
32_4,福井のシンボル 歴史と自然の足羽山,しだれ桜,足羽山は、福井平野の中心に位置する標高116ｍの低い山ですが、市内に残された緑地として散策を楽しむ人も多く、市民の憩いの場となっています。愛宕坂(あたござか)は、かつて、山頂付近にある足羽神社の参道として開かれました。平成12年に笏谷石を使い、再整備されており、毎年秋にライトアップされています。,36.058056,136.209915,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/324.jpg,,,,
32_5,福井のシンボル 歴史と自然の足羽山,継体大王像,足羽山は、福井平野の中心に位置する標高116ｍの低い山ですが、市内に残された緑地として散策を楽しむ人も多く、市民の憩いの場となっています。愛宕坂(あたござか)は、かつて、山頂付近にある足羽神社の参道として開かれました。平成12年に笏谷石を使い、再整備されており、毎年秋にライトアップされています。,36.056267,136.208969,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/325.jpg,,,,
33_1,試練を乗り越え咲き誇る　足羽川桜並木,足羽川（桜橋付近）,福井市中心部を流れる足羽川の木田橋から新明里(あかり)橋にかけて、左岸側堤防約２kmに渡って桜並木が続きます。春になると壮大な桜のトンネルが、多くの人たちを楽しませてくれます。,36.061703,136.212418,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/331.jpg,,,,
33_2,試練を乗り越え咲き誇る　足羽川桜並木,足羽川（幸橋付近）,福井市中心部を流れる足羽川の木田橋から新明里(あかり)橋にかけて、左岸側堤防約２kmに渡って桜並木が続きます。春になると壮大な桜のトンネルが、多くの人たちを楽しませてくれます。,36.060429,136.214478,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/332.jpg,,,,
33_3,試練を乗り越え咲き誇る　足羽川桜並木,足羽川（九十九橋付近）,福井市中心部を流れる足羽川の木田橋から新明里(あかり)橋にかけて、左岸側堤防約２kmに渡って桜並木が続きます。春になると壮大な桜のトンネルが、多くの人たちを楽しませてくれます。,36.061989,136.211731,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/333.jpg,,,,
33_4,試練を乗り越え咲き誇る　足羽川桜並木,足羽川右岸（浜町付近）,福井市中心部を流れる足羽川の木田橋から新明里(あかり)橋にかけて、左岸側堤防約２kmに渡って桜並木が続きます。春になると壮大な桜のトンネルが、多くの人たちを楽しませてくれます。,36.062801,136.212982,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/334.jpg,,,,
34_1,路面電車が走る　福井の街角,福井聖公会福井聖三一教会,福井市内には、西洋の建築様式を用いた近代建築物が今も残っており、その前を路面電車が走る風景は福井なじみのものとなっています。福井地方裁判所は空襲や震災で焼失しましたが、福井復興のシンボルとして昭和28年に再建され、その独特の色と造りには格式高い雰囲気があります。,36.069187,136.216049,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/341.jpg,,,,
34_2,路面電車が走る　福井の街角,市役所前駅,福井市内には、西洋の建築様式を用いた近代建築物が今も残っており、その前を路面電車が走る風景は福井なじみのものとなっています。福井地方裁判所は空襲や震災で焼失しましたが、福井復興のシンボルとして昭和28年に再建され、その独特の色と造りには格式高い雰囲気があります。,36.062405,136.217422,,,,,,
34_3,路面電車が走る　福井の街角,フェニックスプラザ前,福井市内には、西洋の建築様式を用いた近代建築物が今も残っており、その前を路面電車が走る風景は福井なじみのものとなっています。福井地方裁判所は空襲や震災で焼失しましたが、福井復興のシンボルとして昭和28年に再建され、その独特の色と造りには格式高い雰囲気があります。,36.074474,136.218323,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/343.jpg,,,,
34_4,路面電車が走る　福井の街角,福井地方裁判所前,福井市内には、西洋の建築様式を用いた近代建築物が今も残っており、その前を路面電車が走る風景は福井なじみのものとなっています。福井地方裁判所は空襲や震災で焼失しましたが、福井復興のシンボルとして昭和28年に再建され、その独特の色と造りには格式高い雰囲気があります。,36.066689,136.217972,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/344.jpg,,,,
34_5,路面電車が走る　福井の街角,中央三井信託銀行福井支店,福井市内には、西洋の建築様式を用いた近代建築物が今も残っており、その前を路面電車が走る風景は福井なじみのものとなっています。福井地方裁判所は空襲や震災で焼失しましたが、福井復興のシンボルとして昭和28年に再建され、その独特の色と造りには格式高い雰囲気があります。,36.062325,136.218536,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/345.jpg,,,,
35_1,68万石の大藩の面影　福井城址,福井城址の天守台,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.065456,136.220947,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/351.jpg,,,,
35_2,68万石の大藩の面影　福井城址,桜の花びらでピンクに染まったお堀,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.06419,136.222534,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/352.jpg,,,,
35_3,68万石の大藩の面影　福井城址,復元された御廊下橋,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.064949,136.220245,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/353.jpg,,,,
35_4,68万石の大藩の面影　福井城址,北庄城址・柴田公園,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.060318,136.219727,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/354.jpg,,,,
35_5,68万石の大藩の面影　福井城址,お市の方と３人の娘の銅像,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.060032,136.219742,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/355.jpg,,,,
35_6,68万石の大藩の面影　福井城址,福井春まつりのメインイベント「越前時代行列」,福井城は1600年に越前に入った徳川家康の次男結城秀康により、約６年をかけて築かれました。内堀、石垣、天守台が残っており、藩主専用の通路として使用されていた「御廊下橋(おろうかばし)」が平成19年度に復元されました。福井城址は、桜の名所としても有名です。,36.063835,136.221527,,,,,,
36_1,幕末四賢侯　春嶽公の別邸　養浩館,養浩館庭園,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.068302,136.224808,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/361.jpg,,,,
36_2,幕末四賢侯　春嶽公の別邸　養浩館,養浩館,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.068359,136.224167,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/362.jpg,,,,
36_3,幕末四賢侯　春嶽公の別邸　養浩館,養浩館,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.068321,136.224213,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/363.jpg,,,,
36_4,幕末四賢侯　春嶽公の別邸　養浩館,福井市郷土歴史博物館の舎人門,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.068897,136.222672,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/364.jpg,,,,
36_5,幕末四賢侯　春嶽公の別邸　養浩館,橋本左内像,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.059341,136.212799,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/365.jpg,,,,
36_6,幕末四賢侯　春嶽公の別邸　養浩館,福井城址前の由利公正像,かつて福井城外堀に面していた旧福井藩主松平家の別邸は、明治になってから第16代藩主の松平春嶽により、養浩館と名付けられました。優雅な屋敷を取り巻く大きな池を中心とした回遊式林泉庭園は、江戸中期を代表する貴重な名園として知られています。,36.064182,136.222687,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/366.jpg,,,,
37_1,歴史に刻まれた名石　笏谷石のふるさと,朝日山不動寺の露天掘り跡,笏谷石(しゃくだにいし)は福井を代表する石材で、名前は採掘地の地名から由来しています。古墳時代から足羽山で採掘され、石仏、神社の敷石、石灯篭、石畳、瓦と、時代を問わず身近な石材として重宝されてきました。水に濡れると、独特の深い青緑色に変化し、より笏谷石らしい暖かみを感じることができます。,36.055443,136.209839,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/371.jpg,,,,
37_2,歴史に刻まれた名石　笏谷石のふるさと,福井城址の石垣,笏谷石(しゃくだにいし)は福井を代表する石材で、名前は採掘地の地名から由来しています。古墳時代から足羽山で採掘され、石仏、神社の敷石、石灯篭、石畳、瓦と、時代を問わず身近な石材として重宝されてきました。水に濡れると、独特の深い青緑色に変化し、より笏谷石らしい暖かみを感じることができます。,36.06538,136.220993,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/372.jpg,,,,
37_3,歴史に刻まれた名石　笏谷石のふるさと,一乗谷　西山光照寺跡の石仏,笏谷石(しゃくだにいし)は福井を代表する石材で、名前は採掘地の地名から由来しています。古墳時代から足羽山で採掘され、石仏、神社の敷石、石灯篭、石畳、瓦と、時代を問わず身近な石材として重宝されてきました。水に濡れると、独特の深い青緑色に変化し、より笏谷石らしい暖かみを感じることができます。,36.012188,136.297501,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/373.jpg,,,,
37_4,歴史に刻まれた名石　笏谷石のふるさと,百坂,笏谷石(しゃくだにいし)は福井を代表する石材で、名前は採掘地の地名から由来しています。古墳時代から足羽山で採掘され、石仏、神社の敷石、石灯篭、石畳、瓦と、時代を問わず身近な石材として重宝されてきました。水に濡れると、独特の深い青緑色に変化し、より笏谷石らしい暖かみを感じることができます。,36.058918,136.211349,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/374.jpg,,,,
37_5,歴史に刻まれた名石　笏谷石のふるさと,横坂,笏谷石(しゃくだにいし)は福井を代表する石材で、名前は採掘地の地名から由来しています。古墳時代から足羽山で採掘され、石仏、神社の敷石、石灯篭、石畳、瓦と、時代を問わず身近な石材として重宝されてきました。水に濡れると、独特の深い青緑色に変化し、より笏谷石らしい暖かみを感じることができます。,36.059433,136.211212,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/375.jpg,,,,
38_1,西行が讃えた　朝六つ橋から見た文殊山,文殊山とソバ畑,文殊山（標高365m）は福井市と鯖江市の境界に位置し、古来より越前五山のひとつとして崇められてきました。文殊山は角原(つのはら)からの眺めが富士山に似ているため「角原富士」とも呼ばれています。,35.994404,136.211014,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/381.jpg,,,,
38_2,西行が讃えた　朝六つ橋から見た文殊山,文殊山の児の火,文殊山（標高365m）は福井市と鯖江市の境界に位置し、古来より越前五山のひとつとして崇められてきました。文殊山は角原(つのはら)からの眺めが富士山に似ているため「角原富士」とも呼ばれています。,36.010315,136.228577,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/382.jpg,,,,
38_3,西行が讃えた　朝六つ橋から見た文殊山,朝六つ橋のたもとの碑,文殊山（標高365m）は福井市と鯖江市の境界に位置し、古来より越前五山のひとつとして崇められてきました。文殊山は角原(つのはら)からの眺めが富士山に似ているため「角原富士」とも呼ばれています。,36.005455,136.197601,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/383.jpg,,,,
38_4,西行が讃えた　朝六つ橋から見た文殊山,朝六つ川沿いの家並み,文殊山（標高365m）は福井市と鯖江市の境界に位置し、古来より越前五山のひとつとして崇められてきました。文殊山は角原(つのはら)からの眺めが富士山に似ているため「角原富士」とも呼ばれています。,36.010929,136.201218,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/384.jpg,,,,
38_5,西行が讃えた　朝六つ橋から見た文殊山,伝統的民家と土蔵,文殊山（標高365m）は福井市と鯖江市の境界に位置し、古来より越前五山のひとつとして崇められてきました。文殊山は角原(つのはら)からの眺めが富士山に似ているため「角原富士」とも呼ばれています。,36.016823,136.19313,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/385.jpg,,,,
39_1,清らかなせせらぎ　東郷の町並み,堂田川への錦鯉の放流,東郷地区は、朝倉氏が一乗谷に拠点を移した頃から、その支城である東郷城の城下町として発展してきました。現在も街道の中央を堂田川(どうでんがわ)が流れ、安らぎのある豊かな「ふるさと」の風情が漂っています。その姿は、司馬遼太郎の「街道をゆく?越前の諸道」に、“美しい在所“と記されているほどです。,36.016293,136.273026,,,,,,
39_2,清らかなせせらぎ　東郷の町並み,堂田川のライトアップ,東郷地区は、朝倉氏が一乗谷に拠点を移した頃から、その支城である東郷城の城下町として発展してきました。現在も街道の中央を堂田川(どうでんがわ)が流れ、安らぎのある豊かな「ふるさと」の風情が漂っています。その姿は、司馬遼太郎の「街道をゆく?越前の諸道」に、“美しい在所“と記されているほどです。,36.016056,136.273895,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/392.jpg,,,,
39_3,清らかなせせらぎ　東郷の町並み,堂田川,東郷地区は、朝倉氏が一乗谷に拠点を移した頃から、その支城である東郷城の城下町として発展してきました。現在も街道の中央を堂田川(どうでんがわ)が流れ、安らぎのある豊かな「ふるさと」の風情が漂っています。その姿は、司馬遼太郎の「街道をゆく?越前の諸道」に、“美しい在所“と記されているほどです。,36.016006,136.274277,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/393.jpg,,,,
39_4,清らかなせせらぎ　東郷の町並み,青山家,東郷地区は、朝倉氏が一乗谷に拠点を移した頃から、その支城である東郷城の城下町として発展してきました。現在も街道の中央を堂田川(どうでんがわ)が流れ、安らぎのある豊かな「ふるさと」の風情が漂っています。その姿は、司馬遼太郎の「街道をゆく?越前の諸道」に、“美しい在所“と記されているほどです。,36.016129,136.274017,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/394.jpg,,,,
39_5,清らかなせせらぎ　東郷の町並み,花山行事,東郷地区は、朝倉氏が一乗谷に拠点を移した頃から、その支城である東郷城の城下町として発展してきました。現在も街道の中央を堂田川(どうでんがわ)が流れ、安らぎのある豊かな「ふるさと」の風情が漂っています。その姿は、司馬遼太郎の「街道をゆく?越前の諸道」に、“美しい在所“と記されているほどです。,36.002277,136.274185,,,,,,
40_1,朝倉氏五代の栄華の跡　一乗谷,一乗谷朝倉氏遺跡の唐門（冬）,一乗谷は、戦国時代朝倉氏五代の城下町として栄えました。最後の当主朝倉義景は、織田信長との戦いに敗れ、一乗谷は神社仏閣、居館から町屋に到るまで火が放たれ、すべてが灰に帰しました。季節と共に移ろいゆく景色からは、城下１万人とうたわれた栄華の時を思い起こすことができます。,35.999744,136.295013,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/401.jpg,,,,
40_2,朝倉氏五代の栄華の跡　一乗谷,一乗谷朝倉氏遺跡の唐門（春）,一乗谷は、戦国時代朝倉氏五代の城下町として栄えました。最後の当主朝倉義景は、織田信長との戦いに敗れ、一乗谷は神社仏閣、居館から町屋に到るまで火が放たれ、すべてが灰に帰しました。季節と共に移ろいゆく景色からは、城下１万人とうたわれた栄華の時を思い起こすことができます。,35.999893,136.295212,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/402.jpg,,,,
40_3,朝倉氏五代の栄華の跡　一乗谷,復元した町並み,一乗谷は、戦国時代朝倉氏五代の城下町として栄えました。最後の当主朝倉義景は、織田信長との戦いに敗れ、一乗谷は神社仏閣、居館から町屋に到るまで火が放たれ、すべてが灰に帰しました。季節と共に移ろいゆく景色からは、城下１万人とうたわれた栄華の時を思い起こすことができます。,35.998497,136.29364,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/403.jpg,,,,
40_4,朝倉氏五代の栄華の跡　一乗谷,諏訪館跡庭園,一乗谷は、戦国時代朝倉氏五代の城下町として栄えました。最後の当主朝倉義景は、織田信長との戦いに敗れ、一乗谷は神社仏閣、居館から町屋に到るまで火が放たれ、すべてが灰に帰しました。季節と共に移ろいゆく景色からは、城下１万人とうたわれた栄華の時を思い起こすことができます。,35.998154,136.295578,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/404.jpg,,,,
41_1,七たび渡る足羽川　美山の越美北線,第１足羽川橋梁,大きく蛇行する足羽川に、何度も鉄橋で川を渡っていく越美北線。越美北線は、JR北陸本線の福井?九頭竜湖間を結ぶ、全長55kmの路線です。一乗谷駅から美山駅間は７つの鉄道橋があり、杉の山林や足羽川の流れに調和した美しい景観となっています。,36.011269,136.300888,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/411.jpg,,,,
41_2,七たび渡る足羽川　美山の越美北線,第５足羽川橋梁,大きく蛇行する足羽川に、何度も鉄橋で川を渡っていく越美北線。越美北線は、JR北陸本線の福井?九頭竜湖間を結ぶ、全長55kmの路線です。一乗谷駅から美山駅間は７つの鉄道橋があり、杉の山林や足羽川の流れに調和した美しい景観となっています。,36.018211,136.334366,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/412.jpg,,,,
41_3,七たび渡る足羽川　美山の越美北線,第６足羽川橋梁,大きく蛇行する足羽川に、何度も鉄橋で川を渡っていく越美北線。越美北線は、JR北陸本線の福井?九頭竜湖間を結ぶ、全長55kmの路線です。一乗谷駅から美山駅間は７つの鉄道橋があり、杉の山林や足羽川の流れに調和した美しい景観となっています。,36.017883,136.347183,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/413.jpg,,,,
41_4,七たび渡る足羽川　美山の越美北線,第３足羽川橋梁,大きく蛇行する足羽川に、何度も鉄橋で川を渡っていく越美北線。越美北線は、JR北陸本線の福井?九頭竜湖間を結ぶ、全長55kmの路線です。一乗谷駅から美山駅間は７つの鉄道橋があり、杉の山林や足羽川の流れに調和した美しい景観となっています。,36.024632,136.319351,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/414.jpg,,,,
41_5,七たび渡る足羽川　美山の越美北線,第７足羽川橋梁,大きく蛇行する足羽川に、何度も鉄橋で川を渡っていく越美北線。越美北線は、JR北陸本線の福井?九頭竜湖間を結ぶ、全長55kmの路線です。一乗谷駅から美山駅間は７つの鉄道橋があり、杉の山林や足羽川の流れに調和した美しい景観となっています。,36.014637,136.354797,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/415.jpg,,,,
42_1,人と自然が育てた　美山の杉林,福井市三万谷町,福井市美山地区は山林面積が約9割を占めており、古くから林業が盛んで、全国有数の大径木の生産地として知られています。山間部では積雪が２ｍを超えるところもあるため、春には雪の重みで倒れた杉を起こす作業を行うなど、日々の地道な作業が美山の杉を支えています。,36.014847,136.321533,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/421.jpg,,,,
42_2,人と自然が育てた　美山の杉林,美山町森林組合木材加工場,福井市美山地区は山林面積が約9割を占めており、古くから林業が盛んで、全国有数の大径木の生産地として知られています。山間部では積雪が２ｍを超えるところもあるため、春には雪の重みで倒れた杉を起こす作業を行うなど、日々の地道な作業が美山の杉を支えています。,35.994953,136.373718,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/422.jpg,,,,
43_1,足羽川源流　冠山と龍双ヶ滝,冠山,"池田町と岐阜県境に位置する冠山（標高1,25７m）は、「21世紀に残したい日本の自然100選」に選ばれた山です。この山の表情は実に多彩で、冬から春にかけては雪も多く、人を寄せ付けない厳しさを持ちますが、初夏から秋には、自然100選に恥じないほどの雄大な姿を見せ、また、高山植物やニッコウキスゲなどの花が咲き、登山客を楽しませてくれます。",35.786903,136.401962,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/431.jpg,,,,
43_2,足羽川源流　冠山と龍双ヶ滝,足羽川,"池田町と岐阜県境に位置する冠山（標高1,25７m）は、「21世紀に残したい日本の自然100選」に選ばれた山です。この山の表情は実に多彩で、冬から春にかけては雪も多く、人を寄せ付けない厳しさを持ちますが、初夏から秋には、自然100選に恥じないほどの雄大な姿を見せ、また、高山植物やニッコウキスゲなどの花が咲き、登山客を楽しませてくれます。",35.86076,136.366333,,,,,,
43_3,足羽川源流　冠山と龍双ヶ滝,龍双ヶ滝,"池田町と岐阜県境に位置する冠山（標高1,25７m）は、「21世紀に残したい日本の自然100選」に選ばれた山です。この山の表情は実に多彩で、冬から春にかけては雪も多く、人を寄せ付けない厳しさを持ちますが、初夏から秋には、自然100選に恥じないほどの雄大な姿を見せ、また、高山植物やニッコウキスゲなどの花が咲き、登山客を楽しませてくれます。",35.917416,136.430115,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/433.jpg,,,,
43_4,足羽川源流　冠山と龍双ヶ滝,かずら橋,"池田町と岐阜県境に位置する冠山（標高1,25７m）は、「21世紀に残したい日本の自然100選」に選ばれた山です。この山の表情は実に多彩で、冬から春にかけては雪も多く、人を寄せ付けない厳しさを持ちますが、初夏から秋には、自然100選に恥じないほどの雄大な姿を見せ、また、高山植物やニッコウキスゲなどの花が咲き、登山客を楽しませてくれます。",35.860737,136.365616,,,,,,
43_5,足羽川源流　冠山と龍双ヶ滝,足羽川,"池田町と岐阜県境に位置する冠山（標高1,25７m）は、「21世紀に残したい日本の自然100選」に選ばれた山です。この山の表情は実に多彩で、冬から春にかけては雪も多く、人を寄せ付けない厳しさを持ちますが、初夏から秋には、自然100選に恥じないほどの雄大な姿を見せ、また、高山植物やニッコウキスゲなどの花が咲き、登山客を楽しませてくれます。",35.864414,136.361343,,,,,,
44_1,伝統息づく能楽の里　池田,水海の田楽能舞,池田町水海の鵜甘(うかん)神社において、毎年２月15日に奉納されている「水海の田楽能舞」。およそ750年にわたり受け継がれ、国の重要無形民俗文化財にも指定されています。由来は、鎌倉幕府の執権、北条時頼が諸国行脚の際、村人達が田楽を舞って時頼を歓待した返礼として、時頼が「能舞」を教えたとされています。,35.891197,136.367233,,,,,,
44_2,伝統息づく能楽の里　池田,田楽能舞,池田町水海の鵜甘(うかん)神社において、毎年２月15日に奉納されている「水海の田楽能舞」。およそ750年にわたり受け継がれ、国の重要無形民俗文化財にも指定されています。由来は、鎌倉幕府の執権、北条時頼が諸国行脚の際、村人達が田楽を舞って時頼を歓待した返礼として、時頼が「能舞」を教えたとされています。,35.890823,136.36763,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/442.jpg,,,,
44_3,伝統息づく能楽の里　池田,須波阿須疑神社,池田町水海の鵜甘(うかん)神社において、毎年２月15日に奉納されている「水海の田楽能舞」。およそ750年にわたり受け継がれ、国の重要無形民俗文化財にも指定されています。由来は、鎌倉幕府の執権、北条時頼が諸国行脚の際、村人達が田楽を舞って時頼を歓待した返礼として、時頼が「能舞」を教えたとされています。,35.886124,136.345612,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/443.jpg,,,,
44_4,伝統息づく能楽の里　池田,白山神社のお面さんまつり,池田町水海の鵜甘(うかん)神社において、毎年２月15日に奉納されている「水海の田楽能舞」。およそ750年にわたり受け継がれ、国の重要無形民俗文化財にも指定されています。由来は、鎌倉幕府の執権、北条時頼が諸国行脚の際、村人達が田楽を舞って時頼を歓待した返礼として、時頼が「能舞」を教えたとされています。,35.861961,136.363693,,,,,,
44_5,伝統息づく能楽の里　池田,池田町能面美術館,池田町水海の鵜甘(うかん)神社において、毎年２月15日に奉納されている「水海の田楽能舞」。およそ750年にわたり受け継がれ、国の重要無形民俗文化財にも指定されています。由来は、鎌倉幕府の執権、北条時頼が諸国行脚の際、村人達が田楽を舞って時頼を歓待した返礼として、時頼が「能舞」を教えたとされています。,35.861698,136.363022,,,,,,
45_1,農の営みが見える　池田の原風景,池田町東角間の代かき作業,池田町には、農業と結び付いた風景が多く残っています。町では、生ごみを回収して作った堆肥で土をつくることにより、土本来の豊かさを取り戻し、そこで農薬の使用を極力減らした町独自の「池田町ゆうき・げんき正直農業」に取り組んでいます。,35.860798,136.320801,,,,,,
45_2,農の営みが見える　池田の原風景,池田町東俣の水田,池田町には、農業と結び付いた風景が多く残っています。町では、生ごみを回収して作った堆肥で土をつくることにより、土本来の豊かさを取り戻し、そこで農薬の使用を極力減らした町独自の「池田町ゆうき・げんき正直農業」に取り組んでいます。,35.853439,136.314407,,,,,,
46_1,近松文学のふるさと　吉江,吉江七曲り,鯖江市の吉江町界隈は、江戸時代に、福井藩の支藩である吉江藩の城下町で、当時の面影を今に伝えています。「吉江七曲り」は城下町特有の道路割で、その名のとおり道路が七つの鉤型に曲りながら町並みを貫いています。かつては武家屋敷が建ち並んでいましたが、現在も旧家の古風な塀垣が当時を偲ばせてくれます。,35.987068,136.174164,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/461.jpg,,,,
46_2,近松文学のふるさと　吉江,吉江七曲り,鯖江市の吉江町界隈は、江戸時代に、福井藩の支藩である吉江藩の城下町で、当時の面影を今に伝えています。「吉江七曲り」は城下町特有の道路割で、その名のとおり道路が七つの鉤型に曲りながら町並みを貫いています。かつては武家屋敷が建ち並んでいましたが、現在も旧家の古風な塀垣が当時を偲ばせてくれます。,35.986176,136.170197,,,,,,
46_3,近松文学のふるさと　吉江,吉江七曲り,鯖江市の吉江町界隈は、江戸時代に、福井藩の支藩である吉江藩の城下町で、当時の面影を今に伝えています。「吉江七曲り」は城下町特有の道路割で、その名のとおり道路が七つの鉤型に曲りながら町並みを貫いています。かつては武家屋敷が建ち並んでいましたが、現在も旧家の古風な塀垣が当時を偲ばせてくれます。,35.987114,136.170364,,,,,,
46_4,近松文学のふるさと　吉江,吉江七曲り,鯖江市の吉江町界隈は、江戸時代に、福井藩の支藩である吉江藩の城下町で、当時の面影を今に伝えています。「吉江七曲り」は城下町特有の道路割で、その名のとおり道路が七つの鉤型に曲りながら町並みを貫いています。かつては武家屋敷が建ち並んでいましたが、現在も旧家の古風な塀垣が当時を偲ばせてくれます。,35.986835,136.172119,,,,,,
46_5,近松文学のふるさと　吉江,吉江七曲り,鯖江市の吉江町界隈は、江戸時代に、福井藩の支藩である吉江藩の城下町で、当時の面影を今に伝えています。「吉江七曲り」は城下町特有の道路割で、その名のとおり道路が七つの鉤型に曲りながら町並みを貫いています。かつては武家屋敷が建ち並んでいましたが、現在も旧家の古風な塀垣が当時を偲ばせてくれます。,35.987343,136.172272,,,,,,
